Taxonomy_level6,Treatment,Sum
f__Burkholderiaceae;g__Salinispora,calli+,1
f__Campylobacteraceae;g__Sulfurospirillum,calli+,1
f__Caulobacteraceae;g__Caulobacter,calli+,1
f__Cellulomonadaceae;g__Actinotalea,calli+,1
f__Neisseriaceae;g__Vogesella,calli+,1
f__Rhizobiaceae;g__Ensifer,calli+,1
f__Rhodospirillaceae;g__Azospirillum,calli+,1
f__Sphingomonadaceae;g__Sphingomonas,calli+,1
f__Comamonadaceae;g__Aquincola,calli+,2
f__Paenibacillaceae;g__Paenibacillus,calli+,2
f__Rhodocyclaceae;g__Rhodocyclus,calli+,2
f__Rhodocyclaceae;g__Uliginosibacterium,calli+,2
f__Rhodospirillaceae;g__Enhydrobacter,calli+,2
f__Hyphomicrobiaceae;g__Rhodoplanes,calli+,3
f__Microbacteriaceae;g__Microbacterium,calli+,3
f__Oxalobacteraceae;g__Cupriavidus,calli+,3
f__Rhodospirillaceae;g__Phaeospirillum,calli+,3
f__Sphingomonadaceae;g__Novosphingobium,calli+,5
f__Rhizobiaceae;g__Agrobacterium,calli+,8
f__Bradyrhizobiaceae;g__Afipia,calli+,9
f__Burkholderiaceae;g__Burkholderia,calli+,9
f__Oxalobacteraceae;g__Duganella,calli+,10
f__Rhizobiaceae;g__Sinorhizobium,calli+,29
f__Pseudomonadaceae;g__Pseudomonas,calli+,32
f__Comamonadaceae;g__Acidovorax,calli+,44
f__Flavobacteriaceae;g__Flavobacterium,calli+,0
f__Rhizobiaceae;g__Amorphomonas,calli+,0
f__Comamonadaceae;g__[Polyangium],calli+,0
f__Rhizobiaceae;g__Rhizobium,calli+,0
f__Xanthobacteraceae;g__Ancylobacter,calli+,0
f__Burkholderiaceae;g__Salinispora,calli-,7
f__Campylobacteraceae;g__Sulfurospirillum,calli-,0
f__Caulobacteraceae;g__Caulobacter,calli-,1
f__Cellulomonadaceae;g__Actinotalea,calli-,0
f__Neisseriaceae;g__Vogesella,calli-,1
f__Rhizobiaceae;g__Ensifer,calli-,0
f__Rhodospirillaceae;g__Azospirillum,calli-,1
f__Sphingomonadaceae;g__Sphingomonas,calli-,2
f__Comamonadaceae;g__Aquincola,calli-,0
f__Paenibacillaceae;g__Paenibacillus,calli-,2
f__Rhodocyclaceae;g__Rhodocyclus,calli-,0
f__Rhodocyclaceae;g__Uliginosibacterium,calli-,0
f__Rhodospirillaceae;g__Enhydrobacter,calli-,2
f__Hyphomicrobiaceae;g__Rhodoplanes,calli-,1
f__Microbacteriaceae;g__Microbacterium,calli-,1
f__Oxalobacteraceae;g__Cupriavidus,calli-,5
f__Rhodospirillaceae;g__Phaeospirillum,calli-,1
f__Sphingomonadaceae;g__Novosphingobium,calli-,3
f__Rhizobiaceae;g__Agrobacterium,calli-,2
f__Bradyrhizobiaceae;g__Afipia,calli-,1
f__Burkholderiaceae;g__Burkholderia,calli-,7
f__Oxalobacteraceae;g__Duganella,calli-,12
f__Rhizobiaceae;g__Sinorhizobium,calli-,21
f__Pseudomonadaceae;g__Pseudomonas,calli-,24
f__Comamonadaceae;g__Acidovorax,calli-,32
f__Flavobacteriaceae;g__Flavobacterium,calli-,1
f__Rhizobiaceae;g__Amorphomonas,calli-,1
f__Comamonadaceae;g__[Polyangium],calli-,2
f__Rhizobiaceae;g__Rhizobium,calli-,2
f__Xanthobacteraceae;g__Ancylobacter,calli-,2
