Taxonomy-level7,Treatment,Sum
f__Caulobacteraceae;g__Caulobacter;s__vibrioides,calli+,1
f__Rhizobiaceae;g__Ensifer;s__adhaerens,calli+,1
f__Sphingomonadaceae;g__Sphingomonas;s__mali,calli+,1
f__Comamonadaceae;g__Aquincola;s__tertiaricarbonis,calli+,2
f__Rhizobiaceae;g__Agrobacterium;s__undicola,calli+,2
f__Rhizobiaceae;g__Sinorhizobium;s__terangae,calli+,2
f__Rhodospirillaceae;g__Enhydrobacter;s__aerosaccus,calli+,2
f__Microbacteriaceae;g__Microbacterium;s__aurum,calli+,3
f__Rhodospirillaceae;g__Phaeospirillum;s__fulvum,calli+,3
f__Rhizobiaceae;g__Agrobacterium;s__sullae,calli+,6
f__Oxalobacteraceae;g__Duganella;s__nigrescens,calli+,10
f__Pseudomonadaceae;g__Pseudomonas;s__nitroreducens,calli+,23
f__Enterobacteriaceae;g__Pseudomonas;s__syringae,calli+,0
f__Flavobacteriaceae;g__Flavobacterium;s__frigidarium,calli+,0
f__Rhizobiaceae;g__Amorphomonas;s__oryzae,calli+,0
f__Comamonadaceae;g__[Polyangium];s__brachysporum,calli+,0
f__Rhizobiaceae;g__Rhizobium;s__daejeonense,calli+,0
f__Caulobacteraceae;g__Caulobacter;s__vibrioides,calii-,0
f__Rhizobiaceae;g__Ensifer;s__adhaerens,calii-,0
f__Sphingomonadaceae;g__Sphingomonas;s__mali,calii-,2
f__Comamonadaceae;g__Aquincola;s__tertiaricarbonis,calii-,0
f__Rhizobiaceae;g__Agrobacterium;s__undicola,calii-,1
f__Rhizobiaceae;g__Sinorhizobium;s__terangae,calii-,3
f__Rhodospirillaceae;g__Enhydrobacter;s__aerosaccus,calii-,2
f__Microbacteriaceae;g__Microbacterium;s__aurum,calii-,1
f__Rhodospirillaceae;g__Phaeospirillum;s__fulvum,calii-,1
f__Rhizobiaceae;g__Agrobacterium;s__sullae,calii-,0
f__Oxalobacteraceae;g__Duganella;s__nigrescens,calii-,12
f__Pseudomonadaceae;g__Pseudomonas;s__nitroreducens,calii-,17
f__Enterobacteriaceae;g__Pseudomonas;s__syringae,calii-,1
f__Flavobacteriaceae;g__Flavobacterium;s__frigidarium,calii-,1
f__Rhizobiaceae;g__Amorphomonas;s__oryzae,calii-,1
f__Comamonadaceae;g__[Polyangium];s__brachysporum,calii-,2
f__Rhizobiaceae;g__Rhizobium;s__daejeonense,calii-,2
