Time（days）,Co_cultivation,Co_cultivation,Co_cultivation,Co_cultivation,Co_cultivation,Co_cultivation,Co_cultivation,Co_cultivation,Co_cultivation,TSB-only,TSB-only,TSB-only,TSB-only,TSB-only,TSB-only,TSB-only,TSB-only,TSB-only
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,7,7,11,9,8,12,6,7,3,5,7,8,9,8,6,6,4
3,24,20,13,25,19,22,20,18,20,20,21,14,14,18,18,18,16,20
4,25,24,17,28,21,26,26,21,21,21,24,17,20,20,20,20,19,21
5,25,25,19,29,23,28,26,25,24,21,24,19,23,23,22,21,22,23
6,25,25,20,29,23,28,28,25,25,21,25,22,24,23,23,21,22,23
7,25,26,22,29,24,28,28,26,25,22,26,22,24,24,23,21,22,23
8,25,26,25,29,27,28,30,27,26,22,26,23,24,25,24,21,22,23
9,25,27,27,31,29,29,30,27,26,23,27,23,25,25,24,22,22,23
10,26,27,27,31,29,29,31,27,26,23,27,23,25,28,24,22,22,23
