Rep,Treatment,Value
Rep1,Control,18
Rep1,Control,23
Rep1,Control,25
Rep1,Control,22
Rep1,Control,22
Rep1,Control,19
Rep1,Control,23
Rep1,Control,26
Rep1,Control,23
Rep1,Control,22
Rep1,Co_cultivation,25
Rep1,Co_cultivation,33
Rep1,Co_cultivation,25
Rep1,Co_cultivation,30
Rep1,Co_cultivation,25
Rep1,Co_cultivation,26
Rep1,Co_cultivation,32
Rep1,Co_cultivation,24
Rep1,Co_cultivation,30
Rep1,Co_cultivation,25
Rep2,Control,23
Rep2,Control,20
Rep2,Control,22
Rep2,Control,23
Rep2,Control,19
Rep2,Control,22
Rep2,Co_cultivation,23
Rep2,Co_cultivation,29
Rep2,Co_cultivation,25
Rep2,Co_cultivation,23
Rep2,Co_cultivation,28
Rep2,Co_cultivation,26
Rep3,Control,23
Rep3,Control,27
Rep3,Control,23
Rep3,Control,25
Rep3,Control,28
Rep3,Control,24
Rep3,Control,22
Rep3,Control,22
Rep3,Control,23
Rep3,Co_cultivation,26
Rep3,Co_cultivation,27
Rep3,Co_cultivation,27
Rep3,Co_cultivation,31
Rep3,Co_cultivation,29
Rep3,Co_cultivation,29
Rep3,Co_cultivation,31
Rep3,Co_cultivation,27
Rep3,Co_cultivation,26
