Control,R10723+,R10727+
28.6,38.2,28.9
25.2,39.8,28
27.2,41.4,32.6
30.9,21.8,26.3
34.1,33.4,23.7
30.3,39.7,26.5
29.8,34.4,27
25.2,31.8,29.9
26.9,41.3,36.7
36.9,28.6,25.1
31,34.9,27.8
29,41.1,31.1
25.7,35.2,36.4
31.2,38.2,37.8
28.1,35.2,35.4
29.4,31.4,29.4
33.3,26.5,30.9
30.2,33,34.5
32.1,33.6,27.3
29.6,28.2,31.4
27.1,29.8,25
31.2,37.5,31.3
31,37,24.9
26.2,29.7,26.6
23.9,36.2,29.7
24.1,34,29.5
33.7,27.5,25.8
26.4,33.8,26.6
27.8,32,25.9
33.3,30.2,34.4
37.4,28.3,31.7
28.4,27.3,25.3
26.5,36.9,28
24.6,25.9,31.1
28.8,46.1,33.6
24.9,51,34.3
30.6,37.8,33.1
24.9,60.6,32.3
30.1,46.9,27.3
24.8,33.5,30.7
29.5,37.6,29
23.6,35.5,25.3
29.9,34.1,29.9
28.4,37.1,26.3
30.3,47,28.3
33.8,29.3,30.7
30.5,53.2,23.3
30.7,64.9,39.3
23.8,35.5,27.6
28.3,37.4,36.4
33.1,29.6,18.7
30.9,40.9,27.4
29.5,30.4,25.3
26.8,37.3,
27.5,29.8,
30,38.5,
28.5,48.4,
33.9,41.6,
42.8,35.7,
30.1,37.4,
32.6,42.8,
33.9,36.3,
27.5,39,
35,46.5,
28.5,53.4,
34.5,40.3,
32,42.5,
27,43.6,
28,42.7,
28.6,38.8,
28.1,32.7,
31.5,38.6,
28.9,,
42.8,,
35.8,,
31.8,,
38.8,,
32.8,,
30.1,,
33.2,,
31.9,,
38.6,,
44,,
40.4,,
33.4,,
36.4,,
33.7,,
39.9,,
37.2,,
36.3,,
39.3,,
36.6,,
45.4,,
