Control,R10723+,R10727+
19.6,31.2,25.2
15.5,28.2,32
22.6,26.8,27
27.3,14.8,22
19.3,29.6,24.3
26,26.6,27
16.5,22.2,24
23,24.3,30
23.8,22.6,33.5
26.8,25.4,25.9
19.8,29.8,25.6
24.1,30.9,23.5
24,23.3,29.4
29.5,21,22
23,26,31.6
29.9,23.8,30.2
30,20.3,26.1
29.8,28.8,27.3
26.5,27.2,21.3
28.6,20,22
30.1,19.5,24.1
30.8,31,25.2
30,25,24.4
28,26.5,24.7
26.5,27.8,23.3
31.1,30.5,22.8
22.5,16.8,19.5
16.5,29.5,22.7
16.7,29,24.2
27.1,29.6,24.4
27.5,21.2,23.1
19.7,20,16.5
20.4,30.2,28.2
22.3,24.1,25.9
23.8,21.3,32.2
18.5,20,21.7
26.5,27.3,28
17.1,18.5,19.4
24.5,29.8,19.3
19.9,19.7,23.1
21,17.8,25.6
19.5,27,20.4
18.5,26.6,30.4
25.6,13.8,25.8
22.8,16.3,19.4
22.9,15,24.2
27.1,17.2,22.6
30.2,20.2,33.2
20.4,27.6,24.3
23.7,26.3,24.3
21.4,19.8,25.9
19.5,16.2,19.3
22.5,19.5,25
19.6,21.2,
23.2,24.7,
20.8,23.3,
24.3,28.9,
23,23.5,
23.8,21.3,
27.9,25.8,
21.9,28.5,
22.8,20.9,
23.5,27.5,
25.1,29.7,
19.4,27.2,
21.5,26.8,
20.8,27.2,
24.2,26.1,
25.2,25.1,
18.3,25.9,
18.4,20.9,
27.6,23.6,
17.6,,
23.2,,
23.6,,
25.7,,
29.2,,
22.8,,
22.3,,
23.8,,
22.1,,
25.5,,
26.2,,
23.4,,
26.3,,
20.9,,
25.7,,
26,,
23.2,,
25.9,,
26.1,,
25.7,,
27.1,,
