Control,R10723+,R10727+
1.44,3.51,2.14
0.92,4.01,1.21
1.31,4.27,1.4
1.42,0.83,0.94
1.45,3.03,1.22
1.61,1.73,1.49
0.79,1.89,1.51
1.15,2.03,1.34
1.24,2.33,3.01
2.7,0.73,1.2
1.75,2.87,1.14
1.47,4.37,1.83
0.92,2.68,2.8
1.57,1.95,2.87
1.51,2.23,1.88
1.51,1.26,1.78
1.9,0.87,1.53
1.83,1.79,3.16
2.2,1.1,1.19
1.41,1.12,2.22
1.29,1.32,1.14
2.44,1.5,1.4
1.85,1.9,0.88
1.23,1.22,1.26
0.96,1.6,1.77
1.09,1.4,0.95
1.27,0.94,0.87
1.2,1.41,1.12
1.22,1.42,0.78
1.76,1.28,2.47
2.09,1.08,1.26
0.86,0.79,0.59
0.77,1.89,1.93
0.66,0.79,1.4
1.09,2.09,1.95
0.76,3.88,1.97
1.32,2.06,1.37
0.67,4.79,1.71
1.38,1.87,0.85
0.64,1.44,1.6
1.06,1.95,1.15
0.68,1.05,0.59
1.34,1.86,0.97
1.01,0.98,0.95
1.18,2.74,1.08
1.36,1.13,1.15
1.19,2.94,0.69
1.25,5.19,2.72
0.58,0.89,0.95
1.08,0.97,1.72
1.09,1.03,0.82
1.26,2.06,1.03
0.98,1.11,0.73
0.69,1.7,
0.87,2.61,
0.8,4.02,
0.72,6.94,
1.31,5.47,
2.72,1.53,
1.02,3.53,
0.89,8.52,
1.1,2.46,
0.67,6.91,
1.27,7.94,
0.83,10.73,
1.07,5.43,
0.91,6.51,
0.9,6.82,
0.77,5.92,
0.44,4.81,
0.58,1.27,
0.87,3.96,
0.56,,
2.35,,
1.25,,
2.58,,
1.13,,
1.77,,
0.85,,
2.54,,
1.29,,
5.89,,
6.95,,
3.28,,
3.99,,
2.28,,
1.85,,
3.65,,
2.77,,
5.5,,
4,,
4.02,,
7.03,,
