sample-id	sample-type	group
R10101	sample	Co_Callus
R10102	sample	Co_Callus
R10103	sample	Co_Callus
R10104	sample	Co_Callus
R10105	sample	Co_Callus
R10106	sample	Co_Callus
R10107	sample	Co_Callus
R10108	sample	Co_Callus
R10109	sample	Co_Callus
R10110	sample	Co_Callus
R10111	sample	Co_Callus
R10112	sample	Co_Callus
R10113	sample	Co_Callus
R10114	sample	Co_Callus
R10115	sample	Co_Callus
R10116	sample	Co_Callus
R10117	sample	Co_Callus
R10118	sample	Co_Callus
R10119	sample	Co_Callus
R10120	sample	Co_Callus
R10121	sample	Co_Callus
R10122	sample	Co_Callus
R10123	sample	Co_Callus
R10124	sample	Co_Callus
R10125	sample	Co_Callus
R10126	sample	Co_Callus
R10127	sample	Co_Callus
R10201	sample	Co_Callus
R10202	sample	Co_Callus
R10203	sample	Co_Callus
R10204	sample	Co_Callus
R10205	sample	Co_Callus
R10206	sample	Co_Callus
R10207	sample	Co_Callus
R10208	sample	Co_Callus
R10209	sample	Co_Callus
R10210	sample	Co_Callus
R10211	sample	Co_Callus
R10212	sample	Co_Callus
R10213	sample	Co_Callus
R10214	sample	Co_Callus
R10215	sample	Co_Callus
R10216	sample	Co_Callus
R10217	sample	Co_Callus
R10218	sample	Co_Callus
R10219	sample	Co_Callus
R10220	sample	Co_Callus
R10221	sample	Co_Callus
R10222	sample	Co_Callus
R10223	sample	Co_Callus
R10224	sample	Co_Callus
R10225	sample	Co_Callus
R10226	sample	Co_Callus
R10227	sample	Co_Callus
R10301	sample	Co_Callus
R10302	sample	Co_Callus
R10303	sample	Co_Callus
R10304	sample	Co_Callus
R10305	sample	Co_Callus
R10306	sample	Co_Callus
R10307	sample	Co_Callus
R10308	sample	Co_Callus
R10309	sample	Co_Callus
R10310	sample	Co_Callus
R10311	sample	Co_Callus
R10312	sample	Co_Callus
R10313	sample	Co_Callus
R10314	sample	Co_Callus
R10315	sample	Co_Callus
R10316	sample	Co_Callus
R10317	sample	Co_Callus
R10318	sample	Co_Callus
R10319	sample	Co_Callus
R10320	sample	Co_Callus
R10321	sample	Co_Callus
R10322	sample	Co_Callus
R10323	sample	Co_Callus
R10324	sample	Co_Callus
R10325	sample	Co_Callus
R10326	sample	Co_Callus
R10327	sample	Co_Callus
R10401	sample	Co_Callus
R10402	sample	Co_Callus
R10403	sample	Co_Callus
R10404	sample	Co_Callus
R10405	sample	Co_Callus
R10406	sample	Co_Callus
R10407	sample	Co_Callus
R10408	sample	Co_Callus
R10409	sample	Co_Callus
R10410	sample	Co_Callus
R10411	sample	Co_Callus
R10412	sample	Co_Callus
R10413	sample	Co_Callus
R10414	sample	Co_Callus
R10415	sample	Co_Callus
R10416	sample	Co_Callus
R10417	sample	Co_Callus
R10418	sample	Co_Callus
R10419	sample	Co_Callus
R10420	sample	Co_Callus
R10421	sample	Co_Callus
R10422	sample	Co_Callus
R10423	sample	Co_Callus
R10424	sample	Co_Callus
R10425	sample	Co_Callus
R10426	sample	Co_Callus
R10427	sample	Co_Callus
R10428	sample	Co_Callus
R10429	sample	Co_Callus
R10430	sample	Co_Callus
R10431	sample	Co_Callus
R10501	sample	Co_Callus
R10502	sample	Co_Callus
R10503	sample	Co_Callus
R10504	sample	Co_Callus
R10505	sample	Co_Callus
R10506	sample	Co_Callus
R10507	sample	Co_Callus
R10508	sample	Co_Callus
R10509	sample	Co_Callus
R10510	sample	Co_Callus
R10511	sample	Co_Callus
R10512	sample	Co_Callus
R10513	sample	Co_Callus
R10514	sample	Co_Callus
R10515	sample	Co_Callus
R10516	sample	Co_Callus
R10517	sample	Co_Callus
R10518	sample	Co_Callus
R10519	sample	Co_Callus
R10520	sample	Co_Callus
R10521	sample	Co_Callus
R10522	sample	Co_Callus
R10523	sample	Co_Callus
R10524	sample	Co_Callus
R10525	sample	Co_Callus
R10526	sample	Co_Callus
R10527	sample	Co_Callus
R10528	sample	Co_Callus
R10529	sample	Co_Callus
R10601	sample	Co_Callus
R10602	sample	Co_Callus
R10603	sample	Co_Callus
R10604	sample	Co_Callus
R10605	sample	Co_Callus
R10606	sample	Co_Callus
R10607	sample	Co_Callus
R10608	sample	Co_Callus
R10609	sample	Co_Callus
R10610	sample	Co_Callus
R10611	sample	Co_Callus
R10612	sample	Co_Callus
R10613	sample	Co_Callus
R10614	sample	Co_Callus
R10615	sample	Co_Callus
R10616	sample	Co_Callus
R10617	sample	Co_Callus
R10618	sample	Co_Callus
R10619	sample	Co_Callus
R10620	sample	Co_Callus
R10621	sample	Co_Callus
R10622	sample	Co_Callus
R10623	sample	Co_Callus
R10624	sample	Co_Callus
R10625	sample	Co_Callus
R10626	sample	Co_Callus
R10627	sample	Co_Callus
R10628	sample	Co_Callus
R10629	sample	Co_Callus
R10701	sample	Co_Callus
R10702	sample	Co_Callus
R10703	sample	Co_Callus
R10704	sample	Co_Callus
R10705	sample	Co_Callus
R10706	sample	Co_Callus
R10707	sample	Co_Callus
R10708	sample	Co_Callus
R10709	sample	Co_Callus
R10710	sample	Co_Callus
R10711	sample	Co_Callus
R10712	sample	Co_Callus
R10713	sample	Co_Callus
R10714	sample	Co_Callus
R10715	sample	Co_Callus
R10716	sample	Co_Callus
R10717	sample	Co_Callus
R10718	sample	Co_Callus
R10719	sample	Co_Callus
R10720	sample	Co_Callus
R10721	sample	Co_Callus
R10722	sample	Co_Callus
R10723	sample	Co_Callus
R10724	sample	Co_Callus
R10725	sample	Co_Callus
R10726	sample	Co_Callus
R10727	sample	Co_Callus
R10728	sample	Co_Callus
R10729	sample	Co_Callus
R10730	sample	Co_Callus
R10731	sample	Co_Callus
R10801	sample	Co_Callus
R10802	sample	Co_Callus
R10803	sample	Co_Callus
R10804	sample	Co_Callus
R10805	sample	Co_Callus
R10806	sample	Co_Callus
R10807	sample	Co_Callus
R10808	sample	Co_Callus
R10809	sample	Co_Callus
R10810	sample	Co_Callus
R10811	sample	Co_Callus
R10812	sample	Co_Callus
R10813	sample	Co_Callus
R10814	sample	Co_Callus
R10815	sample	Co_Callus
R10816	sample	Co_Callus
R10817	sample	Co_Callus
R10818	sample	Co_Callus
R10819	sample	Co_Callus
R10820	sample	Co_Callus
R10821	sample	Co_Callus
R10822	sample	Co_Callus
R10823	sample	Co_Callus
R10824	sample	Co_Callus
R10825	sample	Co_Callus
R10826	sample	Co_Callus
R10827	sample	Co_Callus
R10901	sample	Co_Callus
R10902	sample	Co_Callus
R10903	sample	Co_Callus
R10904	sample	Co_Callus
R10905	sample	Co_Callus
R10906	sample	Co_Callus
R10907	sample	Co_Callus
R10908	sample	Co_Callus
R10909	sample	Co_Callus
R10910	sample	Co_Callus
R10911	sample	Co_Callus
R10912	sample	Co_Callus
R10913	sample	Co_Callus
R10914	sample	Co_Callus
R10915	sample	Co_Callus
R10916	sample	Co_Callus
R10917	sample	Co_Callus
R10918	sample	Co_Callus
R10919	sample	Co_Callus
R10920	sample	Co_Callus
R10921	sample	Co_Callus
R10922	sample	Co_Callus
R10923	sample	Co_Callus
R10924	sample	Co_Callus
R10925	sample	Co_Callus
R10926	sample	Co_Callus
R20101	sample	Control
R20102	sample	Control
R20103	sample	Control
R20104	sample	Control
R20105	sample	Control
R20106	sample	Control
R20107	sample	Control
R20108	sample	Control
R20109	sample	Control
R20110	sample	Control
R20111	sample	Control
R20112	sample	Control
R20113	sample	Control
R20114	sample	Control
R20115	sample	Control
R20116	sample	Control
R20117	sample	Control
R20118	sample	Control
R20119	sample	Control
R20120	sample	Control
R20121	sample	Control
R20122	sample	Control
R20123	sample	Control
R20124	sample	Control
R20201	sample	Control
R20202	sample	Control
R20203	sample	Control
R20204	sample	Control
R20205	sample	Control
R20206	sample	Control
R20207	sample	Control
R20208	sample	Control
R20209	sample	Control
R20210	sample	Control
R20211	sample	Control
R20212	sample	Control
R20213	sample	Control
R20214	sample	Control
R20215	sample	Control
R20216	sample	Control
R20217	sample	Control
R20218	sample	Control
R20219	sample	Control
R20220	sample	Control
R20221	sample	Control
R20222	sample	Control
R20223	sample	Control
R20224	sample	Control
R20225	sample	Control
R20226	sample	Control
R20227	sample	Control
R20301	sample	Control
R20302	sample	Control
R20303	sample	Control
R20304	sample	Control
R20305	sample	Control
R20306	sample	Control
R20307	sample	Control
R20308	sample	Control
R20309	sample	Control
R20310	sample	Control
R20311	sample	Control
R20312	sample	Control
R20313	sample	Control
R20314	sample	Control
R20315	sample	Control
R20316	sample	Control
R20317	sample	Control
R20318	sample	Control
R20319	sample	Control
R20320	sample	Control
R20321	sample	Control
R20322	sample	Control
R20323	sample	Control
R20401	sample	Control
R20402	sample	Control
R20403	sample	Control
R20404	sample	Control
R20405	sample	Control
R20406	sample	Control
R20407	sample	Control
R20408	sample	Control
R20409	sample	Control
R20410	sample	Control
R20411	sample	Control
R20412	sample	Control
R20413	sample	Control
R20414	sample	Control
R20415	sample	Control
R20416	sample	Control
R20417	sample	Control
R20418	sample	Control
R20419	sample	Control
R20420	sample	Control
R20421	sample	Control
R20422	sample	Control
R20423	sample	Control
R20424	sample	Control
R20425	sample	Control
R20426	sample	Control
R20501	sample	Control
R20502	sample	Control
R20503	sample	Control
R20504	sample	Control
R20505	sample	Control
R20506	sample	Control
R20507	sample	Control
R20508	sample	Control
R20509	sample	Control
R20510	sample	Control
R20511	sample	Control
R20512	sample	Control
R20513	sample	Control
R20514	sample	Control
R20515	sample	Control
R20516	sample	Control
R20517	sample	Control
R20518	sample	Control
R20519	sample	Control
R20520	sample	Control
R20521	sample	Control
R20522	sample	Control
R20523	sample	Control
R20524	sample	Control
R20525	sample	Control
R20526	sample	Control
R20527	sample	Control
R20601	sample	Control
R20602	sample	Control
R20603	sample	Control
R20604	sample	Control
R20605	sample	Control
R20606	sample	Control
R20607	sample	Control
R20608	sample	Control
R20609	sample	Control
R20610	sample	Control
R20611	sample	Control
R20612	sample	Control
R20613	sample	Control
R20614	sample	Control
R20615	sample	Control
R20616	sample	Control
R20617	sample	Control
R20618	sample	Control
R20619	sample	Control
R20620	sample	Control
R20621	sample	Control
R20622	sample	Control
R20623	sample	Control
R20701	sample	Control
R20702	sample	Control
R20703	sample	Control
R20704	sample	Control
R20705	sample	Control
R20706	sample	Control
R20707	sample	Control
R20708	sample	Control
R20709	sample	Control
R20710	sample	Control
R20711	sample	Control
R20712	sample	Control
R20713	sample	Control
R20714	sample	Control
R20715	sample	Control
R20716	sample	Control
R20717	sample	Control
R20718	sample	Control
R20719	sample	Control
R20720	sample	Control
R20721	sample	Control
R20722	sample	Control
R20801	sample	Control
R20802	sample	Control
R20803	sample	Control
R20804	sample	Control
R20805	sample	Control
R20806	sample	Control
R20807	sample	Control
R20808	sample	Control
R20809	sample	Control
R20810	sample	Control
R20811	sample	Control
R20812	sample	Control
R20813	sample	Control
R20814	sample	Control
R20815	sample	Control
R20816	sample	Control
R20817	sample	Control
R20818	sample	Control
R20819	sample	Control
R20820	sample	Control
R20821	sample	Control
R20822	sample	Control
R20901	sample	Control
R20902	sample	Control
R20903	sample	Control
R20904	sample	Control
R20905	sample	Control
R20906	sample	Control
R20907	sample	Control
R20908	sample	Control
R20909	sample	Control
R20910	sample	Control
R20911	sample	Control
R20912	sample	Control
R20913	sample	Control
R20914	sample	Control
R20915	sample	Control
R20916	sample	Control
R20917	sample	Control
R20918	sample	Control
R20919	sample	Control
R20920	sample	Control
R20921	sample	Control
R20922	sample	Control
R20923	sample	Control
CK2	negative	Blank
CK-3	negative	Blank
CKH1	negative	Blank
CKH2	negative	Blank
CKH3	negative	Blank
